# CEFR ground-truth reference (lemma<TAB>level). Hand-leveled from the candidate
# pool — corrects the news-frequency bias (formal words are NOT A1). Used by the
# pipeline's reference layer, which overrides the frequency guess. Not shipped.
so	A1
nur	A1
sehr	A1
ganz	A1
mal	A1
Welt	A1
genau	A1
Geschichte	A1
Hilfe	A1
Person	A1
Bahn	A1
Ende	A1
gerne	A1
letzte	A1
alle	A1
nun	A2
selbst	A2
also	A2
lassen	A2
einmal	A2
fast	A2
weniger	A2
Trainer	A2
klar	A2
pro	A2
tun	A2
hin	A2
direkt	A2
halten	A2
Art	A2
Gruppe	A2
anders	A2
Berliner	A2
setzen	A2
Titel	A2
Kreis	A2
Form	A2
Wiener	A2
bereit	A2
Rennen	A2
Schweizer	A2
vorbei	A2
Rolle	A2
bereits	B1
rund	B1
etwa	B1
dabei	B1
sowie	B1
dazu	B1
dafür	B1
jedoch	B1
davon	B1
darauf	B1
statt	B1
ebenfalls	B1
wohl	B1
gar	B1
bisher	B1
zuletzt	B1
zunächst	B1
insgesamt	B1
erhalten	B1
knapp	B1
kaum	B1
aktuell	B1
Region	B1
eher	B1
damals	B1
Höhe	B1
daher	B1
Gemeinde	B1
aufgrund	B1
Rahmen	B1
daran	B1
führen	B1
Kritik	B1
per	B1
je	B1
Hilfe	B1
beispielsweise	B1
zumindest	B1
hinaus	B1
dagegen	B1
Täter	B1
mittlerweile	B1
Bundesregierung	B1
bieten	B1
schaffen	B1
Sicht	B1
sowohl	B1
innerhalb	B1
Sprecher	B1
darum	B1
komplett	B1
Zusammenarbeit	B1
Studie	B1
ziehen	B1
Generation	B1
passiert	B1
völlig	B1
insbesondere	B1
eben	B1
derzeit	B2
weiterhin	B2
erneut	B2
bislang	B2
offenbar	B2
einigen	B2
Verfügung	B2
künftig	B2
erstmals	B2
jeweils	B2
demnach	B2
Union	B2
Landkreis	B2
betont	B2
Gerade	B2
zufolge	C1
Staatsanwaltschaft	C1
# --- batch 2 (B1/B2 focus) ---
fallen	A2
punkten	B1
gelten	B1
entstehen	B1
meinen	A2
schauen	A2
liefern	B1
gleichen	B2
fordern	B1
erhöhen	B1
treten	B1
profitieren	B2
passieren	A2
zählen	A2
bauen	A2
reichen	B1
sichern	B1
nennen	A2
präsentieren	B1
bewegen	B1
vorgehen	B2
bilden	B1
greifen	B1
ergeben	B2
möglichst	B1
teils	B1
wiederum	B1
stets	B2
hinzu	B1
hervor	B2
jedenfalls	B1
einst	B2
diesmal	A2
vorerst	B2
wobei	B1
daraufhin	B2
plus	A2
vorher	A2
möglicherweise	B1
entgegen	B2
immerhin	B1
raus	A2
zweimal	A2
daraus	B1
miteinander	B1
zugleich	B2
voran	B2
dahin	B1
stattdessen	B2
womöglich	B2
deswegen	B1
weshalb	B1
zuerst	A2
unabhängig	B1
weder	B1
sodass	B1
beziehungsweise	B2
dank	B1
außerhalb	B1
außer	A2
ausschließlich	B2
extrem	B1
unbedingt	B1
vermutlich	B1
besondere	A2
kürzlich	B2
offiziell	B1
bewusst	B1
tätig	B2
mehrfach	B2
entsprechend	B2
relativ	B1
egal	A2
grundsätzlich	B2
hart	A2
maximal	B2
vollständig	B2
jährlich	B1
ausreichend	B1
tot	A2
rein	B1
angeblich	B2
offensichtlich	B1
weitgehend	B2
bestimmt	A2
online	B1
Verfahren	B2
Mitteilung	B1
Sache	A2
Franken	B1
Geschäftsführer	B2
Zuschauer	B1
Linie	A2
Wechsel	B1
Natur	A2
Pandemie	B2
Treffer	B1
Anfrage	B2
Staffel	B1
Position	A2
Netz	B1
Frühjahr	A2
Mittel	B1
Qualität	B1
Niederlage	B1
Zeichen	A2
Personal	B2
Intelligenz	B2
Organisation	B1
Vertreter	B1
Initiative	B2
Erde	A2
Artikel	A2
Sitzung	B2
Nutzung	B1
Umsetzung	B2
Gas	A2
Plattform	B1
Kultur	A2
Version	B1
Nachfolger	B2
Tour	A2
Vorstand	B2
Technik	A2
Halbzeit	B1
Pressekonferenz	B2
Auswahl	B1
Leitung	B1
Duell	B2
Konkurrenz	B1
Diskussion	B1
Ermittler	B2
Gewerkschaft	B2
Anwohner	B1
Meister	B1
Coach	B1
Klinik	A2
Musiker	A2
Finanzierung	B2
Vorbereitung	B1
Erklärung	A2
Million	A2
Stiftung	B2
Teilnahme	B1
Insel	A2
Phase	B1
Alternative	B1
Verbraucher	B2
Angreifer	B1
Botschaft	B1
Redaktion	B2
Ansicht	B1
Untersuchung	B1
Forderung	B1
Anklage	B2
Stürmer	B2
Münchner	A2
Hamburger	A2
Frankfurter	A2
Autofahrer	A2
Spitze	B1
# --- batch 3 (B1/B2/C1) ---
wirken	B1
investieren	B1
werfen	A2
schlagen	A2
spüren	B1
anbieten	A2
übergeben	B1
einsetzen	B1
stammen	B1
vergeben	B1
erscheinen	B1
dienen	B1
drohen	B1
verraten	B1
gelangen	B2
wachsen	A2
ausfallen	B1
aufnehmen	B1
stoppen	A2
konzentrieren	B1
beschäftigen	B1
äußern	B2
entdecken	A2
übernehmen	B1
erwarten	A2
ursprünglich	B1
rasch	B1
automatisch	A2
international	A2
ständig	B1
bundesweit	B2
enorm	B1
unmittelbar	B2
erhältlich	B1
vorhanden	B1
erforderlich	B2
doppelt	A2
deutsch	A1
geschickt	B1
sichtbar	B1
geeignet	B1
real	B1
überwiegend	B2
gering	B1
unterschiedlich	B1
speziell	A2
definitiv	B1
momentan	B1
genügend	B1
erhöht	B1
betroffen	B1
live	B2
derweil	B2
äußerst	B2
hierzulande	B2
ausgesprochen	B2
spätestens	B1
herum	A2
sicherlich	B1
quasi	B2
ausgerechnet	B2
konkret	B1
zeitweise	B2
vorn	A2
wiederholt	B1
jüngst	B2
namens	B2
nochmal	A2
niemals	B1
irgendwie	A2
öfter	A2
dran	A2
seitens	C1
via	B1
entweder	A2
desto	B1
mittels	B2
Los	B2
Leiter	B1
Halle	B1
Sanierung	B2
Nachrichtenagentur	B2
Potenzial	B2
Eröffnung	B1
Einrichtung	B1
Aufmerksamkeit	B1
Anbieter	B2
Veranstalter	B2
Funktion	B1
Erhöhung	B2
Option	B1
Sender	B1
Verhältnis	B1
Formel	B2
Berufung	B2
Schauspielerin	A2
Zustimmung	B1
Realität	B1
Gefängnis	B1
Verteidiger	B1
Sängerin	A2
Spur	B1
Haltung	B2
Einigung	B2
Technologie	A2
Lieferung	B1
Republik	B1
Kategorie	B1
Alkohol	A2
Sitz	B1
Ankündigung	B1
Verlängerung	B1
Spielzeit	B1
Kombination	B1
Kreuz	A2
Betreiber	B2
Kommission	B2
Pressemitteilung	B2
Beteiligung	B2
Wunder	A2
Meisterschaft	B1
Veröffentlichung	B2
Ebene	B2
Änderung	A2
Gemeinschaft	B1
Unternehmer	B1
Klage	B2
Weltmeister	A2
Bundespolizei	B2
Nationalmannschaft	A2
Variante	B1
Oberbürgermeister	B2
Offensive	B2
Stadtverwaltung	B2
Strafe	A2
Entwickler	B1
Front	B1
Außenminister	B2
Rettung	B1
Kilogramm	A2
Messe	B1
Übernahme	B2
Dauer	B1
Kampagne	B1
Nationalspieler	A2
Körperverletzung	B2
Schiedsrichter	B1
Krone	B1
Manager	A2
Ukrainer	A2
Verbrechen	B1
Unfallstelle	B2
Verwendung	B1
Vorgänger	B2
Spieltag	B1
Radfahrer	A2
Finanzminister	B2
Anhänger	B1
Salzburger	B1
Kölner	A2
Leipziger	A2
# --- batch 4 (large) ---
orten	B2
abgeben	B1
umgehen	B2
beantworten	A2
drehen	A2
schicken	A2
belassen	B2
sinken	B1
sterben	A2
erzielen	B1
verfügen	B2
senken	B1
steigern	B1
betreiben	B1
befreien	B1
beziehen	B1
blicken	B1
versorgen	B1
produzieren	A2
warnen	B1
feststellen	B1
hinterlassen	B2
erstellen	B1
entfernen	B1
richten	B1
verdächtigen	B2
fließen	B1
empfangen	B1
betragen	B1
fassen	B1
befürchten	B1
erleichtern	B2
begrüßen	A2
testen	A2
erweitern	B1
fortsetzen	B1
vorliegen	B2
fürchten	B1
treiben	B1
akzeptieren	B1
begegnen	B1
rufen	A2
hinnehmen	B2
verstärken	B1
eintreffen	B2
betrachten	B1
wahren	B2
bekämpfen	B1
verteilen	B1
bestimmen	B1
durchführen	B1
verlaufen	B1
ermitteln	B2
erzeugen	B1
weitergehen	A2
gebieten	C1
dauerhaft	B1
dicht	B1
generell	B1
hauptsächlich	B1
übrig	A2
abhängig	B1
schlicht	B2
umgehend	B2
extra	A2
stabil	B1
wahr	A2
traditionell	B1
zugänglich	B2
einstimmig	B2
total	A2
parallel	B1
reichlich	B2
heftig	B1
unmöglich	A2
spürbar	B2
konsequent	B2
tödlich	B1
jahrelang	B1
schlimm	A2
technisch	B1
smart	B1
ausdrücklich	B2
privat	A2
still	A2
frühzeitig	B2
erkennbar	B2
eventuell	B1
angesehen	B2
dramatisch	B1
englisch	A1
entschlossen	B2
gespannt	B1
mutmaßlich	B2
vorzeitig	B2
geborgen	B2
begrenzt	B1
eingeschränkt	B2
vereinzelt	B2
unverletzt	B1
gefasst	B2
drauf	A2
halt	A2
nochmals	B1
mehrmals	B1
circa	A2
vergleichsweise	B2
drin	A2
jederzeit	B1
vorab	B2
dreimal	A2
nachts	A2
vielmehr	B1
voraus	B1
demnächst	B1
aufeinander	B1
oftmals	B1
erstmal	A2
hinein	B1
morgens	A2
derart	B2
wodurch	B1
bestens	B2
solange	B1
ansonsten	B1
freilich	B2
hinterher	B1
abends	A2
unterdessen	B2
seither	B2
dorthin	A2
normalerweise	A2
sowieso	A2
scheinbar	B1
auseinander	B1
locker	B1
jemals	B1
quer	B1
womit	B1
hierfür	B1
andererseits	B1
hierbei	B1
bloß	B1
umso	B1
einschließlich	B2
anlässlich	B2
binnen	B2
bezüglich	B2
infolge	B2
soweit	B1
anstatt	A2
sofern	B2
unterhalb	B1
Geburt	A2
Innenminister	B2
Kanton	B1
Auszeichnung	B2
Bürgermeisterin	B1
Statistik	B1
Erdbeben	B1
Tiefe	B1
Pfarrer	B2
Antisemitismus	B2
Verteidigungsminister	B2
Landtagswahl	B2
Polizeisprecher	B2
Dutzend	B1
Partnerschaft	B1
Verbesserung	A2
Mischung	B1
Erweiterung	B2
Stellung	B1
Demonstration	B1
Besitz	B1
Abwehr	B2
Händler	B1
Station	A2
Teuerung	B2
Bedrohung	B2
Darstellung	B2
Tabelle	A2
Gutachten	B2
Autorin	B1
Wirtschaftsminister	B2
Explosion	B1
Rasen	B1
Maschine	A2
Spannung	B1
Sportler	A2
Gründer	B1
Agentur	B1
Künstlerin	A2
Anerkennung	B2
Leiche	B2
Presse	B1
Mobilität	B2
Klimakrise	B1
Ministerin	B1
Unterhaltung	A2
Vorlage	B2
Fortsetzung	B1
Begeisterung	B2
Erkrankung	B2
Allianz	B2
Kommentar	B1
Meldung	B1
Vereinigung	B2
Stadtwerke	B2
Zentralbank	B2
Bundesstraße	B1
Wahrscheinlichkeit	B2
Transformation	B2
Küste	A2
Lücke	B1
Präsidentin	B1
Botschafter	B2
Festnahme	B2
Krebs	B1
Kurve	B1
Motorradfahrer	A2
Schließung	B1
Aufregung	B1
Premierminister	B1
Bereitschaft	B2
Defensive	B2
Hubschrauber	B1
Ausstattung	B2
Gegend	A2
Versprechen	B1
Invasion	B2
Konferenz	B1
Ufer	B1
Applaus	B1
Humor	A2
Notwendigkeit	B2
Information	A1
Entlastung	B2
Klassiker	B1
Areal	B2
Ausrüstung	B1
Kugel	A2
Alarm	A2
Auflösung	B2
Sperrung	B2
Attacke	B1
Bundesrepublik	B1
Unterbringung	B2
Provinz	B2
Eskalation	B2
Milliarde	A2
Installation	B2
Bekämpfung	B2
Begleitung	B1
Ehre	B2
Kollision	B2
Priorität	B1
Trailer	B1
Kapitel	A2
Kenntnis	B1
Kundgebung	B2
Lastwagen	A2
Jäger	B1
Stärkung	B2
Steigerung	B1
Speicher	B1
Urlauber	A2
Insolvenz	B2
Behinderung	B1
Präsenz	B2
Anpassung	B1
Versammlung	B1
Weltmeisterschaft	A2
Innovation	B1
Seele	B1
Struktur	B1
Rentner	A2
Anzeichen	B2
Königin	A2
Sparkasse	B1
Angelegenheit	B2
Geldstrafe	B2
Wirklichkeit	B1
Besetzung	B2
Kabinett	B2
Maß	B1
Oberfläche	B1
Regie	B2
Richterin	B2
Fußballer	A2
Starkregen	B1
Kabine	A2
Laune	B1
Entfernung	A2
Mode	A2
Übersicht	B1
Souverän	C1
Umstellung	B2
Vorfreude	B2
Auslöser	B2
Befragung	B2
Kabel	A2
Kennzeichen	B1
Kommune	B2
Verfolgung	B2
Betrüger	B2
Österreicher	A2
Italiener	A2
Amerikaner	A2
Geschehen	B2
Vorhaben	B2
Eigentümer	B2
Begegnung	B1
# --- batch 5 ---
räumen	B1
überlassen	B1
verringern	B1
kritisieren	B1
übersehen	B1
baden	A2
bezeichnen	B1
speisen	B2
schießen	A2
brechen	A2
betreten	B1
identifizieren	B2
verzeichnen	B2
stoßen	B1
errichten	B2
veröffentlichen	B1
entlasten	B2
eingehen	B1
aufstellen	B1
einbringen	B2
erlassen	B2
füllen	A2
locken	B1
zerstören	B1
verdanken	B2
getrennt	A2
vorübergehend	B2
zeitnah	B2
skeptisch	B2
digital	A2
keinerlei	B2
halb	A1
reich	A2
kommend	B1
fraglich	B2
kontinuierlich	B2
illegal	B1
leid	A2
unwahrscheinlich	B1
niedrig	A2
stetig	B2
allgemein	B1
fällig	B2
zufällig	B1
vollkommen	B2
südlich	B1
zwingend	B2
unbekannt	A2
gemäß	B2
streng	B1
körperlich	B1
problemlos	B1
angesagt	B1
wild	A2
vielfach	B2
link	A2
national	B1
mehrheitlich	B2
schade	A2
effektiv	B1
zügig	B2
schwach	A2
sichtlich	B2
etabliert	B2
kompliziert	A2
lebensgefährlich	B2
mächtig	B1
abschließend	B2
bemerkbar	B2
allzu	B1
beinahe	B1
